"","SRR3396381","SRR3396382","SRR3396384","SRR3396385","SRR3396386","SRR3396387"
"YIL092W",199.056675670914,227.037229549884,229.942951395031,206.370481649445,215.043979078784,224.943365112792
"tD(GUC)I2",0,0,0.950177485103434,0,0.911203301181288,0
"YIL136W",2328.04790224316,2331.9246110657,2209.16265286548,1951.3248512398,1675.70287087239,1870.63291940118
"YIR022W",747.034535707511,806.234428490477,746.839503291299,832.633378932165,852.886289905686,895.878337245751
"YIL002W-A",483.913642579291,407.657958836236,454.184837879441,478.125670356139,413.686298736305,435.280018205272
"YIL066W-A",0,0,0,0,0,0
"YIL133C",8392.41248690705,7142.08671446257,8101.21323799188,8759.50747357593,9122.96745142706,8603.35337996327
"YIL123W",2479.0564148211,2177.53929497178,2209.16265286548,2523.44103799073,2757.30118937458,2785.98687267401
"YIR001C",585.729988181081,566.079492344377,559.654538725923,551.683465795545,564.946046732398,583.294700011092
"YIL153W",590.306003713745,618.550318729239,606.213235495991,528.185836696846,538.521150998141,571.609330394843
"YIR002C",613.186081377069,532.780698677061,509.295132015441,541.467105317849,564.946046732398,565.766645586719
"YIL108W",780.21064831933,673.039253821211,714.533468797782,711.058689247591,735.341064053299,765.391709864305
"YIR023C-A",1.14400388316617,5.0452717677752,0,4.08654419107811,2.73360990354386,2.92134240406223
"YIL067C",260.832885361887,304.734414773622,303.106617747995,362.680796958182,321.654765316995,346.665965282051
"YIR019C",200.20067955408,174.566403165022,171.031947318618,143.029046687734,135.769291876012,157.75248981936
"YIL028W",61.7762096909734,66.5975873346326,60.8113590466198,67.4279791527888,50.1161815649708,61.3481904853069
"YIL134W",218.504741684739,238.136827438989,227.092418939721,293.209545709854,288.851446474468,275.579966783204
"YIL159W",201.344683437246,164.475859629471,208.088869237652,220.673386318218,237.824061608316,211.310433893835
"YIL011W",1205.78009285715,1153.34912611341,1296.99226716619,694.712512483278,723.495421137943,693.331930564103
"YIL110W",329.473118351858,315.834012662727,381.021171526477,450.541497066362,434.643974663474,324.269006850908
"YIL131C",518.233759074276,438.938643796442,513.095841955854,521.034384362459,571.324469840668,554.08127597047
"YIL128W",742.458520174846,612.495992607909,668.924949512818,641.587437999263,681.580069283603,684.567903351916
"YIL064W",165.880563059095,110.995978891054,170.081769833515,247.235923560226,271.538583752024,200.59884507894
"YIL071C",184.184625189754,220.982903428554,228.992773909928,172.65649207305,176.77344042917,189.887256264045
"YIL147C",704.706392030363,690.193177831647,669.875126997921,685.517788053353,707.093761716679,671.908752934313
"YIL149C",1152.01191034834,1014.09962532281,1125.01014236247,1144.23237350187,1223.74603348647,1259.09857615082
"YIL106W",555.98588721876,599.378286011693,636.618915019301,492.428575024912,615.973431598551,708.912423385768
"YIL005W",800.802718216321,828.433624268687,772.494295389092,730.469774155212,772.700399401732,789.736229898157
"YIL169C",776.778636669832,791.098613187151,783.896425210333,706.972145056513,928.516163903732,813.106969130654
"YIL004C",376.377277561671,492.418524534859,454.184837879441,557.813282082162,456.512853891825,473.257469458081
"YIR014W",157.872535876932,167.503022690137,150.128042646343,116.466509445726,123.012445659474,137.303092990925
"tE(CUC)I",0,0,0,0,0.911203301181288,0
"YIR033W",916.347110416105,898.058374663985,810.501394793229,760.097219540528,770.87799279937,791.683791500865
"YIL105C",906.051075467609,944.474874927517,949.227307618331,715.145233438669,819.171767761978,874.455159615961
"YIL057C",14.8720504811603,18.1629783639907,13.3024847914481,13.2812686210039,8.20082971063159,7.79024641083262
"YIL017C",848.8508813093,900.076483371095,815.252282218746,592.548907706326,571.324469840668,711.83376578983
"YIL132C",112.112380550285,94.8511092341737,85.5159736593091,109.315057111339,101.143566431123,114.906134559781
"YIL070C",824.826799762811,867.786744057334,937.825177797089,931.732075565809,880.222388941124,974.754582155431
